"","algorithm","replicate","instance","group","result"
"169",2,29,56,13,3036847.75065968
"170",1,5,75,18,4382138.87470248
"171",1,19,73,17,4835974.73900959
"172",2,17,113,26,8245745.80712727
"173",2,10,26,6,141580.944538618
"174",2,8,31,8,313581.070271515
"175",1,16,73,17,4577767.731251
"176",2,28,17,4,42406.5139866976
"177",2,6,142,33,11233444.6803368
"178",2,1,35,8,438329.62593026
"179",2,1,142,33,9879339.53750538
"180",2,13,111,26,7665484.13527865
"181",1,2,69,16,4620519.7832382
"182",2,17,10,3,15.7117870393384
"183",2,14,137,32,11248447.3567262
"184",1,28,14,4,88420.6901238812
"185",2,16,124,29,8219662.51970812
"186",1,5,58,14,3800588.91450346
"187",2,1,110,26,8394893.00154756
"188",1,7,24,6,612099.655729703
"189",1,30,76,18,5126722.94737316
"190",1,30,132,31,10002701.421611
"191",1,7,85,20,5323159.9558462
"192",1,12,20,5,391221.256500317
"193",1,21,125,29,7806734.94023021
"194",2,28,34,8,513969.444550359
"195",2,12,15,4,1075.93834845963
"196",1,6,100,23,7486367.91451863
"197",1,18,104,24,7142045.21368081
"198",1,23,142,33,10942464.0263854
"199",2,2,107,25,8140803.97149239
"200",1,26,144,33,10855895.9939421
"201",1,30,97,23,5540881.85974216
"202",2,14,136,32,10481770.963533
"203",2,2,137,32,10689834.6472615
"204",1,28,147,34,11300205.8404124
"205",2,11,96,22,5794588.03865714
"206",2,24,7,2,0.116338414651902
"207",2,20,132,31,10171750.1750866
"208",1,27,39,9,1524449.11936873
"209",1,23,117,27,8614316.70641432
"210",2,3,111,26,7399518.75122462
"211",2,6,78,18,4207589.68191294
"212",2,25,62,15,2351404.47886585
"213",1,9,120,28,7771816.05719524
"214",1,2,16,4,242352.152211556
"215",2,22,61,14,3481433.07598722
"216",1,22,148,34,12169253.1512994
"217",2,28,44,11,1115512.42355051
"218",2,6,65,15,4378067.62774754
"219",1,28,69,16,3557639.71676845
"220",2,4,115,27,9088366.82901556
"221",1,19,147,34,9679842.22096346
"222",2,29,125,29,9292008.35962646
"223",2,20,12,3,11.4629310377219
"224",1,25,48,11,2856899.00106424
"225",2,5,142,33,9815984.56439703
"226",2,4,117,27,8146645.38025584
"227",1,1,6,2,525.601145110431
"228",2,24,36,9,717778.800726611
"229",2,2,119,28,9043961.21292528
"230",1,21,60,14,2969999.71044325
"231",2,23,76,18,4845734.32120309
"232",1,10,55,13,2137658.42279755
"233",2,25,9,3,8.36064241685759
"234",2,17,70,16,4224772.97420045
"235",2,14,90,21,5464386.97540961
"236",2,26,79,19,5526032.86191981
"237",1,11,24,6,600446.556942956
"238",2,28,115,27,8608069.83901493
"239",2,25,140,32,10205695.5507265
"240",1,8,105,24,6885097.43641873
"241",2,25,43,10,1375555.92753673
"242",2,20,92,21,5656596.95223317
"243",2,1,4,1,2.35159421356273e-16
"244",1,28,136,32,10129566.3980243
"245",2,22,99,23,6453585.93515448
"246",1,25,88,21,6390711.06128163
"247",1,30,17,4,199959.352917869
"248",1,26,145,34,10679127.5786486
"249",1,14,145,34,11525756.1467626
"250",1,1,7,2,3595.32391047424
"251",1,17,143,33,10975766.4526129
"252",1,3,149,34,11876260.1135083
"253",1,20,79,19,5280557.50079656
"254",2,14,135,31,10699902.2963969
"255",2,16,26,6,79132.11621463
"256",2,13,88,21,6656017.9650518
"257",2,16,94,22,6344034.84234974
"258",1,5,115,27,8507596.67296016
"259",2,22,32,8,345858.779595085
"260",2,13,89,21,6314515.9644593
"261",1,17,111,26,7267553.91152707
"262",2,10,141,33,11735519.1404633
"263",1,26,56,13,1949506.18503357
"264",2,24,110,26,8337315.01175095
"265",2,24,57,14,2990999.58927642
"266",2,27,134,31,10629513.9917524
"267",1,13,104,24,7067338.51776836
"268",2,15,78,18,5681117.20216603
"269",1,18,11,3,47786.9700768498
"270",2,20,25,6,128886.994113519
"271",2,20,37,9,677650.278372556
"272",2,10,29,7,170243.466487942
"273",2,30,139,32,9128461.08203695
"274",2,23,122,28,9037083.54172318
"275",2,1,149,34,12085043.6939057
"276",2,6,28,7,392433.303681689
"277",1,20,20,5,395345.718075374
"278",2,17,88,21,6114746.2399114
"279",2,26,41,10,714856.043626326
"280",2,15,94,22,5736785.24224538
"281",1,29,102,24,7620381.94387875
"282",1,29,127,29,10170135.8709154
"283",1,22,149,34,11995421.5510975
"284",2,28,36,9,487824.027610791
"285",1,14,67,16,3729066.16482709
"286",2,1,75,18,4865889.04455438
"287",2,28,118,27,8397998.36316739
"288",1,22,5,2,195.270536806848
"289",2,10,68,16,4756785.3112318
"290",1,19,3,1,0.464144717399543
"291",2,2,96,22,5824315.94471834
"292",1,4,109,25,8360737.40153401
"293",1,21,52,12,2765116.30698896
"294",2,25,135,31,11027145.7379011
"295",2,7,9,3,7.03546896107718
"296",2,24,88,21,5918874.24134578
"297",2,9,139,32,10773894.3189626
"298",2,5,5,2,5.05896015740095e-08
"299",2,30,50,12,2992827.88725136
"300",1,25,136,32,10306780.0593494
"301",1,28,55,13,2860848.80555565
"302",1,21,18,5,309272.787408522
"303",2,23,27,7,157735.108180028
"304",2,11,76,18,5009514.29551784
"305",1,27,73,17,4577958.66294092
"306",2,26,16,4,362.446092096791
"307",1,5,44,11,2484917.46820665
"308",1,15,5,2,24.2072817858481
"309",2,24,17,4,7280.4901868823
"310",2,18,24,6,136891.95438154
"311",2,11,16,4,4466.01396911241
"312",1,13,123,29,9397806.10219548
"313",2,30,87,20,5781866.24270105
"314",1,14,94,22,5513326.12858441
"315",1,20,14,4,131443.481445479
"316",2,4,68,16,4927956.61250056
"317",2,30,113,26,6844599.42294481
"318",2,3,147,34,11185505.039502
"319",1,19,28,7,691146.003766729
"320",1,7,74,17,5399020.71479818
"321",2,24,78,18,5158229.84019018
"322",2,6,124,29,9085828.75274421
"323",1,18,101,24,8173156.47928366
"324",2,21,27,7,55130.458524791
"325",2,5,148,34,10425617.5676849
"326",2,10,99,23,5824956.67622589
"327",2,18,27,7,252555.209300656
"328",1,5,141,33,11547426.9510339
"329",2,29,39,9,913321.835155314
"330",2,26,89,21,5883048.05750413
"331",1,20,134,31,10489408.1474303
"332",2,14,110,26,8640738.98376803
"333",2,16,65,15,4602210.53790504
"334",1,27,111,26,8242191.51727155
"335",2,18,7,2,1.63176351523248
"336",1,28,11,3,70834.4120147016
"337",1,23,80,19,4781308.58380321
"338",1,23,110,26,7563191.78030842
"339",1,21,49,12,2621468.95095144
"340",2,26,96,22,5980308.14458504
"341",1,20,42,10,2123941.21180196
"342",1,16,77,18,5639426.63301273
"343",1,23,150,35,12294359.5544256
"344",1,30,108,25,7871624.08854705
"345",2,23,98,23,4864799.9459807
"346",2,14,55,13,2614829.1818074
"347",1,14,60,14,3064129.8314775
"348",2,10,98,23,6831404.81524247
"349",1,8,50,12,2918306.65952057
"350",1,24,10,3,35596.1417453157
"351",2,4,12,3,160.895514068738
"352",1,21,39,9,1661016.68800028
"353",1,28,27,7,744618.781166783
"354",1,7,61,14,3893574.55956188
"355",2,8,12,3,306.08184365092
"356",1,13,10,3,14347.4974545348
"357",2,21,17,4,10309.0674624533
"358",2,22,76,18,3666685.23625334
"359",2,12,99,23,7061399.69053812
"360",1,6,101,24,6785972.88121568
"361",2,20,139,32,9056195.07012716
"362",1,27,147,34,10795060.9521163
"363",1,3,139,32,9033873.20364729
"364",1,23,99,23,6952569.37632905
"365",1,29,132,31,10458548.964437
"366",2,10,45,11,1245426.03577273
"367",2,20,70,16,3724927.4298287
"368",2,20,20,5,17576.5829694927
"369",2,12,90,21,6122603.82386937
"370",2,28,51,12,960102.131884301
"371",2,14,18,5,4769.5311301765
"372",2,17,56,13,2913095.83069818
"373",1,17,29,7,860832.836692283
"374",1,6,8,2,3465.90728937283
"375",1,2,123,29,8661784.06405225
"376",2,30,53,13,3159870.11924844
"377",2,24,140,32,10462183.105394
"378",2,14,40,10,568290.299837904
"379",2,24,128,30,10084875.1003615
"380",1,17,112,26,8586106.46505188
"381",2,26,97,23,6345099.02683409
"382",1,21,84,20,5086133.56118964
"383",2,16,130,30,10344023.5881165
"384",1,27,11,3,22346.1616733671
"385",1,28,137,32,10632682.3032704
"386",2,4,14,4,1379.19561084549
"387",2,3,130,30,9070319.0812684
"388",2,2,110,26,8245486.67832438
"389",1,27,17,4,187746.457649448
"390",2,19,137,32,9255559.66817852
"391",1,29,33,8,1276966.21652704
"392",2,16,47,11,1907800.20384459
"393",2,5,103,24,7305017.31744896
"394",2,23,46,11,1252508.68059544
"395",2,30,54,13,1464218.8922221
"396",2,17,78,18,5492963.53067025
"397",1,30,119,28,7985907.50851001
"398",2,29,114,27,7370305.41871634
"399",2,20,79,19,5393305.08226725
"400",2,19,114,27,6817322.90809301
"401",2,23,107,25,6701390.62170899
"402",2,19,85,20,5701891.33182188
"403",2,7,34,8,401430.045094849
"404",1,30,126,29,9660033.41265359
"405",1,1,142,33,11344268.0769777
"406",2,3,91,21,5690215.59228486
"407",1,8,67,16,4004617.65169984
"408",1,26,61,14,3228041.38032382
"409",2,11,77,18,4280151.52410105
"410",1,29,48,11,1736238.4215284
"411",2,11,38,9,1040224.41030458
"412",2,14,138,32,10677518.8330964
"413",2,7,4,1,7.47476963395075e-15
"414",2,10,43,10,948725.702106872
"415",2,26,148,34,12813343.0482639
"416",2,23,130,30,8980904.86544976
"417",1,13,27,7,535782.756143613
"418",1,30,99,23,6666298.53319986
"419",2,4,47,11,620849.723184048
"420",1,3,106,25,7675795.08850389
"421",2,15,25,6,286072.593742883
"422",2,14,140,32,11176814.0602587
"423",2,23,105,24,7984262.84442058
"424",2,12,81,19,4666522.30863155
"425",2,21,130,30,10548830.7381014
"426",1,20,126,29,10129681.186049
"427",2,25,11,3,22.0035624822538
"428",1,7,43,10,2057645.69747788
"429",1,27,68,16,4140616.50567178
"430",2,9,73,17,4181169.33123249
"431",2,6,61,14,3505229.23212447
"432",2,5,22,6,83299.5522400248
"433",2,15,29,7,273413.757331032
"434",1,10,25,6,596162.012915988
"435",2,29,94,22,6330709.72784667
"436",1,4,105,24,8114385.18545455
"437",1,14,85,20,5047992.22359059
"438",1,21,120,28,8774738.71986818
"439",1,3,111,26,9087372.0834945
"440",2,11,85,20,4467422.04756633
"441",2,5,73,17,3885621.77032241
"442",1,26,113,26,8304747.98944208
"443",2,21,21,5,211209.315460822
"444",2,22,121,28,7668418.97590788
"445",1,12,15,4,187322.665695198
"446",2,3,35,8,679601.848099624
"447",2,15,81,19,4865501.14586035
"448",1,20,39,9,1603443.38870589
"449",1,8,47,11,1424480.14103684
"450",1,21,81,19,4841230.33207462
"451",1,19,150,35,11797312.7157831
"452",1,25,46,11,2344722.36525598
"453",2,27,46,11,1136269.77380083
"454",2,4,74,17,5041836.27284842
"455",1,10,116,27,8588690.209948
"456",1,29,5,2,80.0653253214705
"457",1,4,99,23,6649901.00650835
"458",1,14,20,5,270115.615247421
"459",1,27,84,20,5828303.90136138
"460",1,17,3,1,0.513265810849109
"461",1,24,55,13,3779146.76778171
"462",2,9,29,7,305574.586058867
"463",1,28,7,2,758.828214455199
"464",2,1,48,11,1265158.88384619
"465",1,20,74,17,4857483.68171151
"466",1,6,147,34,9992906.58101551
"467",1,19,9,3,7608.30249902564
"468",1,6,96,22,6351737.78750511
"469",1,14,13,3,71428.786577259
"470",1,29,126,29,9169705.20816711
"471",1,2,7,2,3083.1091037785
"472",2,22,95,22,7410338.83380977
"473",1,27,49,12,2725154.74762037
"474",1,29,111,26,7784558.09935189
"475",2,20,29,7,547097.889814642
"476",1,11,140,32,11174179.396446
"477",2,30,4,1,3.38642685539539e-14
"478",2,18,51,12,755992.502165696
"479",1,7,84,20,5094607.11477969
"480",2,8,122,28,9457569.64950896
"481",1,2,29,7,816555.340256108
"482",1,22,73,17,4563607.63725634
"483",2,16,116,27,9005307.8667604
"484",1,21,105,24,6801431.35198741
"485",1,21,82,19,5849870.5608177
"486",2,5,96,22,6985677.20330006
"487",2,26,78,18,5700053.25978289
"488",1,3,134,31,10138111.7488637
"489",2,21,76,18,5262405.74500307
"490",2,23,70,16,3970064.37125341
"491",2,26,104,24,6744150.60038608
"492",1,16,115,27,8741139.35329476
"493",1,3,23,6,499207.94150714
"494",1,9,141,33,9357692.67196001
"495",1,20,69,16,4024960.3791976
"496",2,4,36,9,525895.352468859
"497",1,30,83,19,5179720.19476385
"498",2,30,59,14,2624169.44048077
"499",1,16,2,1,0.00726194445460945
"500",2,27,99,23,7368348.79263853
"501",2,15,58,14,654213.576701106
"502",1,6,119,28,8040533.51776975
"503",2,10,133,31,9724671.0149148
"504",1,25,112,26,8002419.43401938
"505",1,2,43,10,1419469.87491047
"506",2,29,13,3,240.102950413188
"507",2,10,125,29,9123629.32690682
"508",2,6,73,17,4447101.90898257
"509",2,10,145,34,10704827.8871059
"510",2,17,12,3,93.2661385462727
"511",2,30,140,32,10801262.0940454
"512",2,13,137,32,8705863.4633766
"513",2,17,89,21,6328081.33762915
"514",1,3,144,33,11075252.5758689
"515",2,6,114,27,7683749.83556245
"516",2,9,129,30,10099617.2831574
"517",2,21,53,13,1461359.10363529
"518",2,5,32,8,296509.227394253
"519",1,22,6,2,291.988280660544
"520",2,2,16,4,1248.27649587183
"521",2,23,150,35,11175459.7419114
"522",2,28,45,11,980700.346371032
"523",1,2,66,16,3540488.5778549
"524",1,18,102,24,7841490.836283
"525",2,9,8,2,4.53553993129218
"526",2,28,43,10,751471.853720616
"527",2,5,16,4,7649.89638036958
"528",2,5,100,23,5877562.10348694
"529",1,29,143,33,11321458.3052044
"530",2,19,113,26,8070392.27116701
"531",2,15,36,9,423479.67502805
"532",2,1,76,18,4956240.5048778
"533",1,6,71,17,4677398.09004043
"534",2,15,148,34,12105456.484108
"535",1,15,52,12,2690046.69411856
"536",2,25,123,29,9564295.35141765
"537",1,19,20,5,412774.433471389
"538",2,12,32,8,123209.766599716
"539",2,30,29,7,488390.204131305
"540",2,3,43,10,908073.773086617
"541",2,2,134,31,9936086.0392943
"542",1,14,76,18,5452132.60953089
"543",2,19,132,31,10359002.8439143
"544",2,3,122,28,8697482.99470336
"545",1,17,138,32,9688562.23872952
"546",2,8,75,18,4593242.81802299
"547",1,4,81,19,4778603.5278487
"548",2,12,113,26,7285836.54076112
"549",1,17,121,28,9764606.5645423
"550",2,9,130,30,10179231.0617554
"551",1,15,67,16,3230053.44301903
"552",1,6,85,20,5149868.41695619
"553",2,4,101,24,6804407.40223454
"554",2,2,148,34,10493216.5524331
"555",1,5,10,3,26712.9508204041
"556",2,1,136,32,10572533.0968105
"557",2,8,22,6,93694.4963799697
"558",1,1,123,29,9669291.11712769
"559",2,5,91,21,5776212.14883024
"560",2,12,61,14,2401446.27552185
"561",1,1,145,34,10084022.3154212
"562",2,3,143,33,9936804.28109766
"563",2,20,47,11,1400568.30681228
"564",2,1,109,25,7292869.38162555
"565",2,10,79,19,5357620.28889666
"566",1,20,111,26,6787858.58062852
"567",1,10,39,9,1708715.42153965
"568",1,17,25,6,560103.372592815
"569",2,5,75,18,4792668.50696986
"570",1,22,51,12,2592145.80341881
"571",1,24,116,27,9184206.20783364
"572",1,1,29,7,785052.294389193
"573",1,23,11,3,38724.2874573414
"574",1,25,109,25,8049229.55358266
"575",1,12,9,3,16195.0164613908
"576",1,25,16,4,254913.657727393
"577",1,21,97,23,6979254.99497155
"578",1,16,23,6,540705.979545684
"579",1,23,27,7,719365.990885307
"580",2,8,61,14,3359973.18628697
"581",1,18,115,27,8634970.31019284
"582",2,5,12,3,57.0407664585936
"583",2,15,122,28,9278466.2038327
"584",1,5,19,5,303363.017148973
"585",2,21,85,20,6169528.61953544
"586",2,17,40,10,843482.874232419
"587",1,6,40,10,1823388.99452524
"588",1,14,80,19,5309014.17974304
"589",1,23,119,28,7763280.9669076
"590",1,16,89,21,6038485.20693979
"591",1,21,123,29,9917017.96616385
"592",2,4,40,10,827194.204840757
"593",2,25,31,8,275532.842661272
"594",2,24,22,6,5975.6808522202
"595",1,21,74,17,4890289.52376935
"596",2,3,134,31,9781657.73191756
"597",2,18,150,35,11747783.7712022
"598",1,5,60,14,3124220.71209429
"599",2,17,86,20,5834863.86268905
"600",1,3,13,3,95553.8865469161
"601",2,21,72,17,4368644.12841624
"602",2,21,33,8,318606.733675457
"603",2,30,105,24,7798988.62905109
"604",2,25,108,25,6237280.24835017
"605",2,22,108,25,7885286.62108024
"606",2,22,49,12,2967024.23664622
"607",2,27,145,34,11556176.1617944
"608",2,3,18,5,3364.20258994658
"609",1,2,20,5,369129.645978708
"610",1,15,40,10,1932176.81597578
"611",2,26,75,18,4926164.67979169
"612",1,10,9,3,13581.952372865
"613",1,19,106,25,8223986.41236268
"614",2,13,119,28,6846564.66206122
"615",1,9,121,28,8312606.26019514
"616",1,16,51,12,1906300.92317019
"617",2,11,52,12,3136021.51876106
"618",2,17,105,24,8214152.5548248
"619",1,28,114,27,9313882.05944786
"620",2,10,6,2,0.00369481566460642
"621",1,26,34,8,1050017.64163072
"622",1,2,142,33,10633421.0145965
"623",2,7,55,13,3033226.96655853
"624",2,26,13,3,1155.03449079458
"625",2,3,12,3,284.247048566903
"626",1,4,5,2,29.6060038436807
"627",2,17,13,3,363.549641926681
"628",1,8,73,17,4563284.93198145
"629",2,21,121,28,8337604.27831534
"630",2,23,29,7,251991.605660199
"631",2,25,94,22,6515147.12365885
"632",1,13,120,28,8687313.13067088
"633",1,2,124,29,9405589.4937026
"634",2,3,90,21,6447605.43545974
"635",2,10,110,26,7108849.04957089
"636",1,13,131,30,9020921.72068042
"637",2,15,70,16,4973230.75765067
"638",2,11,134,31,10493811.2569497
"639",2,13,62,15,3897150.40658433
"640",1,8,95,22,7022686.19552858
"641",2,8,2,1,0
"642",1,8,20,5,296333.054665092
"643",1,26,51,12,2765507.69248032
"644",1,14,50,12,1913054.36298902
"645",2,12,127,29,10101116.9978523
"646",2,16,2,1,0
"647",1,6,113,26,8564188.33582769
"648",1,25,4,1,4.84081780889419
"649",2,26,27,7,51812.0620589283
"650",1,27,53,13,3054439.47507856
"651",2,23,87,20,5653666.08663147
"652",1,27,43,10,2070705.56642753
"653",1,23,61,14,3693779.12220913
"654",1,16,70,16,4008034.21544363
"655",1,20,94,22,6337448.91491001
"656",1,22,101,24,7881763.0321337
"657",1,6,120,28,7476006.63445703
"658",2,6,129,30,8549388.80720454
"659",1,3,81,19,5145786.257897
"660",2,17,54,13,1403291.83666562
"661",1,15,110,26,7562925.33844509
"662",1,22,61,14,3112924.93898074
"663",2,28,124,29,8130819.38085277
"664",2,28,8,2,3.63324396649137
"665",1,19,61,14,3542637.45133748
"666",1,20,95,22,6864250.4151753
"667",1,8,91,21,5298953.63140905
"668",2,25,115,27,9169216.86533298
"669",1,24,144,33,10375998.2954179
"670",1,16,140,32,9819250.59226898
"671",1,19,46,11,2700898.43539761
"672",1,11,42,10,2233799.3274278
"673",1,9,132,31,10118407.7464831
"674",1,22,127,29,9535536.21202656
"675",2,19,136,32,9811791.48290388
"676",1,23,57,14,3229041.91309069
"677",1,2,15,4,155612.255761991
"678",1,27,124,29,9399548.24031829
"679",2,10,18,5,1849.246983122
"680",2,25,73,17,4224312.47393452
"681",2,19,87,20,5857282.02940606
"682",2,21,7,2,1.68785854268473
"683",2,4,71,17,4376984.85255438
"684",1,10,62,15,3405606.87593221
"685",2,21,77,18,5074461.63502226
"686",1,2,55,13,2772344.46409226
"687",1,13,13,3,128970.710377371
"688",2,2,94,22,6500948.17431221
"689",2,12,73,17,4319706.65342346
"690",2,20,69,16,3642079.07966826
"691",2,7,39,9,640025.994081742
"692",1,10,120,28,8787848.37408743
"693",1,30,19,5,165756.483445545
"694",1,20,125,29,9380751.23934519
"695",1,27,18,5,234039.390859772
"696",1,26,110,26,8034440.2540056
"697",1,5,108,25,7294358.73542621
"698",1,27,65,15,3508702.42471152
"699",2,29,106,25,6435948.42418627
"700",1,19,37,9,1411514.34523036
"701",2,22,30,7,147546.559404159
"702",1,15,82,19,5947878.90123998
"703",1,15,136,32,8822038.6215614
"704",1,9,69,16,3662281.83266678
"705",2,23,79,19,4031955.64025696
"706",2,2,93,22,5826582.83924797
"707",1,14,31,8,953911.200639052
"708",2,23,134,31,10026264.4783871
"709",2,15,17,4,2022.95773048588
"710",2,22,128,30,9883558.12252721
"711",2,28,68,16,4233301.44764684
"712",1,30,137,32,9561069.0520318
"713",2,2,20,5,39313.3192508076
"714",2,5,57,14,3410193.90976606
"715",2,8,70,16,4520747.79795392
"716",2,19,64,15,3998210.4745056
"717",2,4,30,7,460605.665024881
"718",1,18,22,6,478087.337689195
"719",1,25,120,28,9053626.71142593
"720",1,13,114,27,8185836.9288851
"721",2,5,89,21,6366736.5170327
"722",1,12,60,14,3112885.75305272
"723",2,12,62,15,2650626.14139984
"724",2,1,99,23,6761706.40611116
"725",1,15,95,22,6647493.1948335
"726",1,12,89,21,6561269.24608919
"727",2,18,145,34,11650618.421056
"728",2,7,8,2,6.65226731970098
"729",1,30,5,2,72.8184189698762
"730",2,19,18,5,4749.97554495492
"731",1,3,102,24,7621576.29372665
"732",2,16,44,11,1119612.25162839
"733",2,5,121,28,9337139.80181367
"734",2,13,102,24,7276448.90681863
"735",2,10,115,27,7587359.27880461
"736",1,27,90,21,5414106.2127406
"737",1,9,12,3,68562.8300888967
"738",1,23,21,5,332328.334373385
"739",1,26,22,6,472016.016084845
"740",2,21,103,24,7731614.79211933
"741",1,13,55,13,3438602.36585821
